Code, Year, Type, File Name, Author - Title, URL
BSD - APF, ?, Short-story, Delavrancea_ApaSiFoc.txt, 'Barbu Ştefănescu Delavrancea - Apă și foc', 'https://ro.wikisource.org/wiki/Ap%C4%83_%C8%99i_foc'
BSD - BNA, 1893, Short-story, Delavrancea_Bunica.txt, 'Barbu Ştefănescu Delavrancea - Bunica', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/bunica.html'
BSD - BNC, 1893, Short-story, Delavrancea_Bunicul.txt, 'Barbu Ştefănescu Delavrancea - Bunicul', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/bunicul.html'
BSD - BSL, 1893, Short-story, Delavrancea_Bursierul.txt, 'Barbu Ştefănescu Delavrancea - Bursierul', 'https://ro.wikisource.org/wiki/Bursierul'
BSD - BSO, ?, Short-story, Delavrancea_BoacaSiOnea.txt, 'Barbu Ştefănescu Delavrancea - Boaca și Onea', 'https://ro.wikisource.org/wiki/Boaca_%C8%99i_Onea'
BSD - DAD, ?, Short-story, Delavrancea_DeAziSiDeDemult.txt, 'Barbu Ştefănescu Delavrancea - De azi și de demult', 'https://ro.wikisource.org/wiki/De_azi_%C8%99i_de_demult'
BSD - DLC, 1893, Short-story, Delavrancea_DouaLacrimi.txt, 'Barbu Ştefănescu Delavrancea - Două lacrîmi', 'https://ro.wikisource.org/wiki/Dou%C4%83_lacr%C3%AEmi'
BSD - DLV, 1893, Short-story, Delavrancea_DomnulVucea.txt, 'Barbu Ştefănescu Delavrancea - Domnul Vucea', 'https://ro.wikisource.org/wiki/Domnul_Vucea'
BSD - DMT, ?, Short-story, Delavrancea_DinMemoriileTrubadurului.txt, 'Barbu Ştefănescu Delavrancea - Din memoriile Trubadurului', 'https://ro.wikisource.org/wiki/Din_memoriile_Trubadurului'
BSD - DPD, ?, Fairy-tale, Delavrancea_DeparteDeparte.txt, 'Barbu Ştefănescu Delavrancea - Departe, departe', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/departe-departe.html'
BSD - FNT, 1884, Short-story, Delavrancea_FantaCella.txt, 'Barbu Ştefănescu Delavrancea - Fanta-Cella', 'https://ro.wikisource.org/wiki/Fanta-Cella'
BSD - FTM, ?, Short-story, Delavrancea_FataMosului.txt, 'Barbu Ştefănescu Delavrancea - Fata moşului', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/fata-mosului.html'
BSD - HGT, 1887, Short-story, Delavrancea_HagiTudose.txt, 'Barbu Ştefănescu Delavrancea - Hagi-Tudose', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/hagi-tudose.html'
BSD - IMR, 1884, Short-story, Delavrancea_IancuMoroi.txt, 'Barbu Ştefănescu Delavrancea - Iancu Moroi', 'https://ro.wikisource.org/wiki/Iancu_Moroi'
BSD - INL, ?, Short-story, Delavrancea_InainteDeAlegeri.txt, 'Barbu Ştefănescu Delavrancea - Înainte de alegeri', 'https://ro.wikisource.org/wiki/%C3%8Enainte_de_alegeri'
BSD - IRN, 1893, Short-story, Delavrancea_Irinel.txt, 'Barbu Ştefănescu Delavrancea - Irinel', 'https://ro.wikisource.org/wiki/Irinel'
BSD - LNE, ?, Short-story, Delavrancea_Lene.txt, 'Barbu Ştefănescu Delavrancea - Lene', 'https://ro.wikisource.org/wiki/Lene'
BSD - LNT, 1887, Short-story, Delavrancea_Liniste.txt, 'Barbu Ştefănescu Delavrancea - Liniște', 'https://ro.wikisource.org/wiki/Lini%C8%99te'
BSD - MCR, ?, Fairy-tale, Delavrancea_MosCraciun.txt, 'Barbu Ştefănescu Delavrancea - Moș Crăciun', 'https://povesti-ro.weebly.com/mos-craciun-barbu-stefanescu-delavrancea.html'
BSD - MCT, ?, Short-story, Delavrancea_Micutii.txt, 'Barbu Ştefănescu Delavrancea - Micuții', 'https://ro.wikisource.org/wiki/Micu%C8%9Bii'
BSD - MDC, 1893, Short-story, Delavrancea_MareleDuce.txt, 'Barbu Ştefănescu Delavrancea - Marele duce', 'https://ro.wikisource.org/wiki/Marele_duce'
BSD - MLG, ?, Short-story, Delavrancea_Milogul.txt, 'Barbu Ştefănescu Delavrancea - Milogul', 'https://ro.wikisource.org/wiki/Milogul'
BSD - NDR, ?, Fairy-tale, Delavrancea_NoroculDracului.txt, 'Barbu Ştefănescu Delavrancea - Norocul dracului', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/norocul-dracului.html'
BSD - NEC, ?, Short-story, Delavrancea_NuEGeabaCafea.txt, 'Barbu Ştefănescu Delavrancea - Nu e "geaba" cafea', 'https://ro.wikisource.org/wiki/Nu_e_%22geaba%22_cafea'
BSD - NGT, ?, Fairy-tale, Delavrancea_Neghinita.txt, 'Barbu Ştefănescu Delavrancea - Neghiniţă', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/neghinita.html'
BSD - ODN, 1884, Short-story, Delavrancea_Odinioara.txt, 'Barbu Ştefănescu Delavrancea - Odinioară', 'https://ro.wikisource.org/wiki/Odinioar%C4%83'
BSD - PDC, 1884, Fairy-tale, Delavrancea_PalatulDeClestar.txt, 'Barbu Ştefănescu Delavrancea - Palatul de cleştar', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/palatul-de-clestar.html'
BSD - PSS, ?, Short-story, Delavrancea_PravoslavniculSiSlaninele.txt, 'Barbu Ştefănescu Delavrancea - Pravoslavnicul și slăninele', 'https://ro.wikisource.org/wiki/Pravoslavnicul_%C8%99i_sl%C4%83ninele'
BSD - PSS, ?, Short-story, Delavrancea_PravoslavniculSiSlaninile.txt, 'Barbu Ştefănescu Delavrancea - Pravoslavnicul şi slăninile', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/pravoslavnicul-si-slaninile.html'
BSD - PVS, ?, Fairy-tale, Delavrancea_Poveste.txt, 'Barbu Ştefănescu Delavrancea - Poveste', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/poveste.html'
BSD - PZT, 1893, Short-story, Delavrancea_Parazitii.txt, 'Barbu Ştefănescu Delavrancea - Paraziții', 'https://ro.wikisource.org/wiki/Parazi%C8%9Bii'
BSD - RZM, 1884, Short-story, Delavrancea_Razmirita.txt, 'Barbu Ştefănescu Delavrancea - Răzmirița', 'https://ro.wikisource.org/wiki/R%C4%83zmiri%C8%9Ba_(%C8%98tef%C4%83nescu-Delavrancea)'
BSD - SEM, ?, Short-story, Delavrancea_SadiElMahib.txt, 'Barbu Ştefănescu Delavrancea - Sadi-el-Mahib', 'https://ro.wikisource.org/wiki/Sadi-el-Mahib'
BSD - SER, ?, Short-story, Delavrancea_Suer.txt, 'Barbu Ştefănescu Delavrancea - Şuer', 'https://www.povesti-pentru-copii.com/barbu-stefanescu-delavrancea/suer.html'
