1.000000 180/1083= 16.620499 (32)  
0.500000 90/1083= 8.310249 (97) a
0.466667 84/1083= 7.756233 (116) t
0.394444 71/1083= 6.555863 (101) e
0.361111 65/1083= 6.001847 (105) i
0.255556 46/1083= 4.247461 (115) s
0.250000 45/1083= 4.155125 (110) n
0.238889 43/1083= 3.970453 (327) ă
0.211111 38/1083= 3.508772 (117) u
0.205556 37/1083= 3.416436 (109) m
0.194444 35/1083= 3.231764 (99) c
0.194444 35/1083= 3.231764 (10) 
0.183333 33/1083= 3.047091 (114) r
0.166667 30/1083= 2.770083 (112) p
0.161111 29/1083= 2.677747 (111) o
0.127778 23/1083= 2.123730 (98) b
0.127778 23/1083= 2.123730 (65) A
0.116667 21/1083= 1.939058 (353) ș
0.116667 21/1083= 1.939058 (108) l
0.111111 20/1083= 1.846722 (33) !
0.100000 18/1083= 1.662050 (46) .
0.083333 15/1083= 1.385042 (100) d
0.066667 12/1083= 1.108033 (369) î
0.050000 9/1083= 0.831025 (45) -
0.050000 9/1083= 0.831025 (118) v
0.044444 8/1083= 0.738689 (357) â
0.033333 6/1083= 0.554017 (83) S
0.033333 6/1083= 0.554017 (355) ț
0.033333 6/1083= 0.554017 (103) g
0.027778 5/1083= 0.461681 (122) z
0.027778 5/1083= 0.461681 (102) f
0.022222 4/1083= 0.369344 (106) j
0.016667 3/1083= 0.277008 (78) N
0.016667 3/1083= 0.277008 (77) M
0.011111 2/1083= 0.184672 (69) E
0.005556 1/1083= 0.092336 (76) L
0.005556 1/1083= 0.092336 (50) 2
0.005556 1/1083= 0.092336 (104) h

