1.000000 209/1224= 17.075163 (32)  
0.569378 119/1224= 9.722222 (101) e
0.497608 104/1224= 8.496732 (97) a
0.387560 81/1224= 6.617647 (105) i
0.320574 67/1224= 5.473856 (116) t
0.306220 64/1224= 5.228758 (117) u
0.282297 59/1224= 4.820261 (114) r
0.244019 51/1224= 4.166667 (327) ă
0.229665 48/1224= 3.921569 (110) n
0.200957 42/1224= 3.431373 (99) c
0.191388 40/1224= 3.267974 (115) s
0.186603 39/1224= 3.186275 (100) d
0.177033 37/1224= 3.022876 (108) l
0.172249 36/1224= 2.941176 (112) p
0.157895 33/1224= 2.696079 (111) o
0.148325 31/1224= 2.532680 (109) m
0.081340 17/1224= 1.388889 (353) ș
0.076555 16/1224= 1.307190 (46) .
0.066986 14/1224= 1.143791 (102) f
0.062201 13/1224= 1.062091 (44) ,
0.062201 13/1224= 1.062091 (10) 
0.057416 12/1224= 0.980392 (369) î
0.052632 11/1224= 0.898693 (118) v
0.043062 9/1224= 0.735294 (45) -
0.043062 9/1224= 0.735294 (357) â
0.028708 6/1224= 0.490196 (98) b
0.028708 6/1224= 0.490196 (122) z
0.028708 6/1224= 0.490196 (106) j
0.023923 5/1224= 0.408497 (355) ț
0.023923 5/1224= 0.408497 (103) g
0.014354 3/1224= 0.245098 (83) S
0.014354 3/1224= 0.245098 (67) C
0.014354 3/1224= 0.245098 (337) Î
0.009569 2/1224= 0.163399 (78) N
0.009569 2/1224= 0.163399 (77) M
0.009569 2/1224= 0.163399 (65) A
0.009569 2/1224= 0.163399 (33) !
0.004785 1/1224= 0.081699 (68) D
0.004785 1/1224= 0.081699 (58) :
0.004785 1/1224= 0.081699 (352) Ș
0.004785 1/1224= 0.081699 (120) x
0.004785 1/1224= 0.081699 (104) h

